Country,Year,Overall Score,Property Rights,Government Integrity,Judicial Effectiveness,Tax Burden,Government Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom,Financial Freedom
Austria,2024,68.4,96.9,74.8,94.8,45.1,8.6,36.5,81.9,78.9,73.8,79.2,80.0,70.0
Belgium,2024,65.6,91.6,78.9,91.5,51.1,6.1,20.0,82.6,58.8,72.4,79.2,85.0,70.0
Bulgaria,2024,68.5,75.9,44.0,57.4,92.9,56.2,91.4,75.3,68.7,70.5,79.2,60.0,50.0
Croatia,2024,67.2,79.8,51.3,71.0,81.7,27.1,74.8,76.5,68.2,67.4,79.2,70.0,60.0
Cyprus,2024,72.2,83.7,55.9,88.7,79.9,45.5,79.3,78.6,66.7,74.5,79.2,75.0,60.0
Czech Republic,2024,70.2,89.3,60.7,83.1,79.6,36.2,58.7,77.3,58.9,68.8,79.2,70.0,80.0
Denmark,2024,77.8,98.6,97.4,89.6,41.8,26.8,98.2,92.7,64.9,74.3,79.2,90.0,80.0
Estonia,2024,77.8,92.8,81.2,93.4,80.8,46.8,85.4,83.2,64.2,66.2,79.2,90.0,70.0
Finland,2024,76.3,100.0,94.2,97.6,67.8,8.2,74.3,88.8,65.5,75.4,79.2,85.0,80.0
France,2024,62.5,93.1,73.7,84.2,53.1,0.0,6.9,82.0,60.5,71.6,79.2,75.0,70.0
Germany,2024,72.1,95.3,86.0,93.0,59.3,24.1,71.9,84.2,53.7,68.8,79.2,80.0,70.0
Greece,2024,55.1,76.9,55.2,69.9,60.6,3.4,5.6,73.9,62.8,68.9,79.2,55.0,50.0
Hungary,2024,61.2,69.6,44.3,63.0,85.4,27.7,11.5,73.5,62.0,68.8,79.2,80.0,70.0
Iceland,2024,70.5,96.5,83.7,95.3,73.6,26.3,10.5,87.4,68.0,73.4,80.8,80.0,70.0
Ireland,2024,82.6,93.5,83.4,94.3,78.0,82.4,91.7,91.3,62.8,74.5,79.2,90.0,70.0
Italy,2024,60.1,81.6,60.7,77.7,57.0,2.5,0.0,77.6,70.7,74.1,79.2,80.0,60.0
Latvia,2024,71.5,87.6,64.8,73.0,76.6,48.5,67.3,82.0,66.3,67.8,79.2,85.0,60.0
Lithuania,2024,72.9,89.1,68.0,74.4,76.8,55.5,83.2,80.7,61.8,66.5,79.2,70.0,70.0
Luxembourg,2024,79.2,96.9,84.9,95.8,64.6,40.6,97.6,89.5,57.7,69.1,79.2,95.0,80.0
Malta,2024,64.5,86.3,55.3,89.9,69.6,45.0,14.5,77.5,64.4,71.8,79.2,70.0,50.0
Netherlands,2024,77.3,95.6,87.8,96.2,53.1,37.1,88.1,88.6,60.5,71.5,79.2,90.0,80.0
Norway,2024,77.5,98.8,95.6,96.7,61.7,32.1,97.2,87.2,69.4,71.1,84.8,75.0,60.0
Poland,2024,66.0,72.0,58.3,52.2,72.6,38.5,67.4,74.6,58.0,68.9,79.2,80.0,70.0
Portugal,2024,68.7,89.4,65.5,90.6,59.8,33.0,65.2,79.3,57.6,75.0,79.2,70.0,60.0
Romania,2024,64.4,81.0,47.6,65.8,93.9,58.0,14.9,74.6,68.2,69.3,79.2,70.0,50.0
Slovakia,2024,68.1,84.5,55.8,70.6,76.5,41.4,64.2,76.3,58.1,66.1,79.2,75.0,70.0
Slovenia,2024,65.9,88.2,60.6,91.9,57.4,27.1,47.4,79.1,65.4,74.1,79.2,70.0,50.0
Spain,2024,63.3,87.2,64.0,73.6,57.0,26.0,0.0,79.7,63.6,74.1,84.2,80.0,70.0
Sweden,2024,77.5,96.2,93.2,95.4,50.6,28.5,97.1,84.9,65.9,74.4,79.2,85.0,80.0
Switzerland,2024,83.0,94.2,91.3,98.1,70.4,64.6,95.7,89.3,60.7,80.8,86.4,85.0,80.0
