Index,country,year,rgdpo,labor_stock,capital_stock,Overall Score,Property Rights,Government Integrity,Rule of law,Tax Burden,Government Spending,Government size,Business Freedom,Monetary Freedom,Regulatory efficiency,Trade Freedom,Investment Freedom,Financial Freedom,Market openness
0,Austria,2000,306927.5625,21077.2927193219,1798700.12802414,68.4,90,75,82.5,44.2,25,34.6,70,88.4,79.2,83,70,70,74.3333333333333
1,Austria,2001,299963.125,21178.4883532282,1844588.168745,68.1,90,76,83,44.2,25,34.6,70,89.6,79.8,78,70,70,72.6666666666667
2,Austria,2002,306288.46875,21229.0097908174,1884053.88900711,67.4,90,77,83.5,44.5,18.9,31.7,70,86.4,78.2,79.6,70,70,73.2
3,Austria,2003,313908.28125,21376.1995082566,1926565.35875063,67.6,90,78,84,45.3,18.6,31.95,70,85.1,77.55,81.4,70,70,73.8
4,Austria,2004,326475.03125,21625.9175732117,1968064.2074715,67.6,90,78,84,43.5,21,32.25,70,85.9,77.95,79.8,70,70,73.2666666666667
5,Austria,2005,357373.03125,21652.4587980143,2008218.86724142,68.8,90,80,85,44.4,22.6,33.5,70,87,76.8666666666667,80.2,70,70,73.4
6,Austria,2006,364390.5,21909.1869506809,2048085.53963801,71.1,90,84,87,50.2,23.2,36.7,82,86.4,80.3666666666667,82.4,70,70,74.1333333333333
7,Austria,2007,376847.21875,22288.7447846369,2092176.35357696,71.6,90,87,88.5,50.3,24.7,37.5,81.7,86,79.2666666666667,86.6,70,70,75.5333333333333
8,Austria,2008,390540.625,22735.4854986873,2136226.07970763,71.39519383,90,86,88,51.1939,25.2997,38.2468,80.852644,81.44887387,78.5005059566667,86,70,70,75.3333333333333
9,Austria,2009,373127.28125,22173.198529267,2168643.99117863,71.19790325,90,81,85.5,49.9144,27.0853,38.49985,78.57027391,80.89582325,79.3886990533333,85.8,70,70,75.2666666666667
10,Austria,2010,385229.0625,22405.3201907075,2196889.89518875,71.6,90,81,85.5,51.2,28.8,40,73.6,79.3,77.3333333333333,87.5,75,70,77.5
11,Austria,2011,402328.375,22949.6284211373,2230834.91025592,71.9,90,79,84.5,50.3,28,39.15,72.8,82.9,77.9666666666667,87.6,80,70,79.2
12,Austria,2012,409657.375,22959.4906010764,2263688.80903928,70.3,90,79,84.5,50.5,15.4,32.95,70.3,82.2,76.8666666666667,87.2,80,70,79.0666666666667
13,Austria,2013,404381.125,22903.2875360642,2296465.34955164,71.8,90,78,84,51.1,23.5,37.3,73.6,79.3,77.7666666666667,86.8,85,70,80.6
14,Austria,2014,423224.03125,23025.9796299452,2326715.69476649,72.4,90,75.5,82.75,51,23.5,37.25,76.3,79.5,78.7666666666667,87.8,90,70,82.6
15,Austria,2015,430623.875,22918.2000372323,2358667.2093772,71.2,90,69,79.5,50.1,19.8,34.95,78,80.3,78.3333333333333,88,90,70,82.6666666666667
16,Austria,2016,436191.0625,23411.4604094096,2393751.3766451,71.7,90,72,81,50.7,22.4,36.55,79.4,81.7,77.8666666666667,88,90,70,82.6666666666667
17,Austria,2017,458231.59375,23760.2364855471,2431671.44142666,72.3,86,75.2,81,50.3,19.3,49.7666666666667,76.9,83.4,75.9666666666667,87,90,70,82.3333333333333
18,Austria,2018,470960.75,24393.8645190032,2472045.79428225,71.8,83.5,73.5,79.3,49.9,19.4,50.1333333333333,75.5,83.7,75.3,86.9,90,70,82.3
19,Austria,2019,477705.5,24790.5265356751,2515120.01266807,72,84.2,77.4,77.6333333333333,50.5,24.5,53.5,74.9,81.5,75.0333333333334,86,90,70,82
20,Belgium,2000,346908.875,19474.5135392066,1927589.76939768,63.5,90,54,72,33.1,18.9,26,70,87.9,78.95,77.8,70,70,72.6
21,Belgium,2001,348797.75,19770.7886454032,1979683.42657344,63.8,90,53,71.5,33.2,22,27.6,70,88.3,79.15,78,70,70,72.6666666666667
22,Belgium,2002,358492.6875,20096.5490058917,2021771.06465673,67.6,90,61,75.5,33.7,28,30.85,70,86,78,79.6,90,70,79.8666666666667
23,Belgium,2003,374266.28125,20283.4152481764,2061123.4176485,68.1,90,66,78,33.7,26.8,30.25,70,85.2,77.6,81.4,90,70,80.4666666666667
24,Belgium,2004,383970.3125,20509.9367710475,2109254.36211012,68.7,90,71,80.5,43.1,23.5,33.3,70,81.3,75.65,79.8,90,70,79.9333333333333
25,Belgium,2005,429270.65625,20819.6408913973,2162603.73635528,69,90,76,83,42.1,22,32.05,70,81.8,73.2666666666667,80.2,90,70,80.0666666666667
