Index,country,year,rgdpe,rgdpo,emp,avh,hc,labor_stock,rnna,delta,capital_stock,Name,Index Year,Overall Score,Property Rights,Judicial Effectiveness,Government Integrity,Rule of law,Tax Burden,Government Spending,Fiscal Health,Government size,Business Freedom,Labor Freedom,Monetary Freedom,Regulatory efficiency,Trade Freedom,Investment Freedom,Financial Freedom,Market openness,Year,Countries,Economic Freedom Summary Index,1  Size of Government,2  Legal System & Property Rights -- With Gender Adjustment,2 Legal System & Property Rights - No Gender Adjustment,3  Sound Money,4  Freedom to trade internationally,5  Regulation
0,Austria,2000,314579.6875,306927.5625,3.7599310874939,1798.43221117612,3.11702919006348,21077.2927193219,1870413.5,0.03834091871977,1798700.12802414,Austria,2000,68.4,90,,75,82.5,44.2,25,,34.6,70,,88.4,79.2,83,70,70,74.3333333333333,2000,Austria,8.02,5.37,8.12,8.63,9.63,9.36,7.62
1,Austria,2001,308449.03125,299963.125,3.78583884239197,1785.4201480698,3.13323092460632,21178.4883532282,1918997,0.03877485543489,1844588.168745,Austria,2001,68.1,90,,76,83,44.2,25,,34.6,70,,89.6,79.8,78,70,70,72.6666666666667,2001,Austria,7.94,5.42,8.12,8.63,9.58,9.25,7.34
2,Austria,2002,313331.15625,306288.46875,3.78069376945496,1782.84794012249,3.14951682090759,21229.0097908174,1960784.375,0.03913254663348,1884053.88900711,Austria,2002,67.4,90,,77,83.5,44.5,18.9,,31.7,70,,86.4,78.2,79.6,70,70,73.2,2002,Austria,7.92,5.38,8,8.5,9.63,9.2,7.41
3,Austria,2003,318809.15625,313908.28125,3.80615854263306,1773.97785450023,3.16588711738586,21376.1995082566,2005640.75,0.03942649811506,1926565.35875063,Austria,2003,67.6,90,,78,84,45.3,18.6,,31.95,70,,85.1,77.55,81.4,70,70,73.8,2003,Austria,8.08,5.67,8.37,8.63,9.65,9.26,7.46
4,Austria,2004,330761.75,326475.03125,3.82534575462341,1776.46583847686,3.18234300613403,21625.9175732117,2049323.25,0.03965164721012,1968064.2074715,Austria,2004,67.6,90,,78,84,43.5,21,,32.25,70,,85.9,77.95,79.8,70,70,73.2666666666667,2004,Austria,8.03,5.68,8.28,8.53,9.62,9.19,7.38
5,Austria,2005,343994.09375,357373.03125,3.86236524581909,1752.48934906659,3.19888401031494,21652.4587980143,2091478.625,0.03980904072523,2008218.86724142,Austria,2005,68.8,90,,80,85,44.4,22.6,,33.5,70,73.6,87,76.8666666666667,80.2,70,70,73.4,2005,Austria,7.94,5.74,8.43,8.68,9.55,8.48,7.5
6,Austria,2006,361593.875,364390.5,3.92562890052795,1735.66953330982,3.21551084518433,21909.1869506809,2133344.75,0.03996504098177,2048085.53963801,Austria,2006,71.1,90,,84,87,50.2,23.2,,36.7,82,72.7,86.4,80.3666666666667,82.4,70,70,74.1333333333333,2006,Austria,7.95,5.7,8.44,8.69,9.54,8.61,7.49
7,Austria,2007,376780.21875,376847.21875,3.99807167053223,1724.77914038572,3.23222470283508,22288.7447846369,2179840.5,0.04021585360169,2092176.35357696,Austria,2007,71.6,90,,87,88.5,50.3,24.7,,37.5,81.7,70.1,86,79.2666666666667,86.6,70,70,75.5333333333333,2007,Austria,7.95,5.68,8.43,8.69,9.56,8.61,7.47
8,Austria,2008,387194.71875,390540.625,4.07503700256348,1717.19510018023,3.24902486801147,22735.4854986873,2226509.75,0.04054941609502,2136226.07970763,Austria,2008,71.39519383,90,,86,88,51.1939,25.2997,,38.2468,80.852644,73.2,81.44887387,78.5005059566667,86,70,70,75.3333333333333,2008,Austria,7.89,5.61,8.35,8.6,9.54,8.5,7.43
9,Austria,2009,382414.0625,373127.28125,4.05796527862549,1673.07510755993,3.26591277122498,22173.198529267,2260832.25,0.04077624902129,2168643.99117863,Austria,2009,71.19790325,90,,81,85.5,49.9144,27.0853,,38.49985,78.57027391,78.7,80.89582325,79.3886990533333,85.8,70,70,75.2666666666667,2009,Austria,7.89,5.43,8.52,8.52,9.58,8.49,7.43
